Budget,Gross,Release Date,Runtime,Rating,Rating Count,Net Profit,ROI,MPAA Rating_G,MPAA Rating_PG,MPAA Rating_PG-13,MPAA Rating_R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_Thriller,Genre_War,Genre_Western
7500000.0,296000000.0,10,93.0,5.9,73638.0,288500000.0,38.46666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7500000.0,145793296.0,12,99.0,7.4,91075.0,138293296.0,18.439106133333333,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13000000.0,71079915.0,7,100.0,7.2,91415.0,58079915.0,4.467685769230769,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14000000.0,161001698.0,12,145.0,7.2,91415.0,147001698.0,10.500121285714286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15000000.0,84431625.0,4,107.0,7.5,101702.0,69431625.0,4.628775,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15000000.0,79258538.0,8,100.0,7.0,77659.0,64258538.0,4.283902533333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16000000.0,92800000.0,7,96.0,7.6,180871.0,76800000.0,4.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16400000.0,235860116.0,6,129.0,8.1,382002.0,219460116.0,13.381714390243902,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000000.0,126297830.0,7,124.0,7.0,41866.0,106297830.0,5.3148915,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25000000.0,227853986.0,7,114.0,7.2,151737.0,202853986.0,8.11415944,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26000000.0,160200000.0,12,116.0,6.8,45248.0,134200000.0,5.161538461538462,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27000000.0,71320000.0,12,97.0,7.6,135690.0,44320000.0,1.6414814814814815,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32000000.0,222724172.0,6,93.0,6.3,132480.0,190724172.0,5.960130375,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35000000.0,411348924.0,6,126.0,7.5,319517.0,376348924.0,10.7528264,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37000000.0,215394738.0,6,108.0,6.6,171196.0,178394738.0,4.821479405405405,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40000000.0,222300000.0,11,83.0,7.6,219221.0,182300000.0,4.5575,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40000000.0,332000000.0,11,108.0,7.8,438940.0,292000000.0,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48000000.0,474171806.0,5,127.0,8.2,647495.0,426171806.0,8.878579291666666,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55000000.0,63408614.0,12,104.0,6.8,79806.0,8408614.0,0.1528838909090909,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000.0,95904091.0,11,119.0,7.3,43037.0,80904091.0,5.393606066666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11000000.0,71600000.0,11,104.0,6.1,127793.0,60600000.0,5.509090909090909,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13500000.0,202000000.0,3,93.0,6.8,79806.0,188500000.0,13.962962962962964,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000000.0,463000000.0,3,119.0,7.0,266405.0,449000000.0,32.07142857142857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15000000.0,201957688.0,12,111.0,6.1,127793.0,186957688.0,12.463845866666666,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18000000.0,476684675.0,11,103.0,7.6,414472.0,458684675.0,25.482481944444444,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20000000.0,138700000.0,5,110.0,6.0,37415.0,118700000.0,5.935,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20000000.0,61276872.0,11,107.0,7.8,168946.0,41276872.0,2.0638436,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000000.0,53000000.0,12,105.0,7.9,421760.0,33000000.0,1.65,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22000000.0,505000000.0,7,127.0,7.0,183054.0,483000000.0,21.954545454545453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22000000.0,221303188.0,7,127.0,6.9,35122.0,199303188.0,9.059235818181818,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22000000.0,424208848.0,11,181.0,8.0,224754.0,402208848.0,18.28222036363636,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26000000.0,61489265.0,8,115.0,6.6,76155.0,35489265.0,1.3649717307692308,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30000000.0,199200000.0,3,134.0,7.6,167212.0,169200000.0,5.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38000000.0,153518974.0,6,95.0,5.9,36103.0,115518974.0,3.039973,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000000.0,244527583.0,5,118.0,7.4,369652.0,204527583.0,5.113189575,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47000000.0,103738726.0,6,103.0,6.1,54312.0,56738726.0,1.207206936170213,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54000000.0,136766062.0,12,162.0,7.6,332236.0,82766062.0,1.5327048518518518,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60000000.0,157920733.0,6,107.0,6.0,73649.0,97920733.0,1.6320122166666666,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65000000.0,261317921.0,6,113.0,7.5,282870.0,196317921.0,3.020275707692308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70000000.0,240031094.0,7,124.0,7.2,317843.0,170031094.0,2.4290156285714284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11000000.0,119418501.0,12,130.0,7.7,62493.0,108418501.0,9.856227363636364,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19000000.0,272742922.0,2,119.0,8.6,1166583.0,253742922.0,13.354890631578948,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19000000.0,174999005.0,2,99.0,6.2,46455.0,155999005.0,8.21047394736842,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000000.0,89325780.0,12,105.0,6.5,64326.0,69325780.0,3.466289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23000000.0,86900000.0,6,85.0,6.5,64326.0,63900000.0,2.7782608695652176,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25000000.0,78600000.0,3,88.0,8.0,397467.0,53600000.0,2.144,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000000.0,377350553.0,11,84.0,8.0,397467.0,352350553.0,14.09402212,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26000000.0,181096164.0,7,84.0,6.8,93277.0,155096164.0,5.965237076923077,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27000000.0,179033791.0,6,112.0,6.7,45166.0,152033791.0,5.630881148148148,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27000000.0,96900000.0,12,113.0,7.2,66086.0,69900000.0,2.588888888888889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000000.0,191502426.0,11,99.0,6.9,119260.0,161502426.0,5.3834142,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
